pair_choice,span,minimum_adjacent_separation,relative_eigenvalue_threshold,pair_weight_in_triple_space,pair_norm_squared,minimum_gram_eigenvalue,maximum_gram_eigenvalue,retained_rank,retained_condition_number,discarded_overlap_norm_squared
saved_incoming_pair,100,20,1.0e-12,0.0024255005317566102,1.000000000069794,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
saved_incoming_pair,100,20,1.0e-10,0.0024255005317566102,1.000000000069794,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
saved_incoming_pair,100,20,1.0e-8,0.0024255005317566102,1.000000000069794,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
saved_incoming_pair,100,30,1.0e-12,0.00011353648611545077,1.000000000069794,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
saved_incoming_pair,100,30,1.0e-10,0.00011353648611545077,1.000000000069794,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
saved_incoming_pair,100,30,1.0e-8,0.00011353648611545077,1.000000000069794,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
saved_incoming_pair,100,40,1.0e-12,5.604498747108097e-6,1.000000000069794,0.9997801213543545,1.0014237768496241,21,1.0016440169794965,0.0
saved_incoming_pair,100,40,1.0e-10,5.604498747108097e-6,1.000000000069794,0.9997801213543545,1.0014237768496241,21,1.0016440169794965,0.0
saved_incoming_pair,100,40,1.0e-8,5.604498747108097e-6,1.000000000069794,0.9997801213543545,1.0014237768496241,21,1.0016440169794965,0.0
saved_incoming_pair,100,50,1.0e-12,7.361722930417907e-8,1.000000000069794,1.000084335990852,1.000084335990852,1,1.0,0.0
saved_incoming_pair,100,50,1.0e-10,7.361722930417907e-8,1.000000000069794,1.000084335990852,1.000084335990852,1,1.0,0.0
saved_incoming_pair,100,50,1.0e-8,7.361722930417907e-8,1.000000000069794,1.000084335990852,1.000084335990852,1,1.0,0.0
saved_incoming_pair,120,20,1.0e-12,0.0024254997145880747,1.0000000000043925,0.9756894811279996,1.0954302444734616,81,1.1227242536293711,0.0
saved_incoming_pair,120,20,1.0e-10,0.0024254997145880747,1.0000000000043925,0.9756894811279996,1.0954302444734616,81,1.1227242536293711,0.0
saved_incoming_pair,120,20,1.0e-8,0.0024254997145880747,1.0000000000043925,0.9756894811279996,1.0954302444734616,81,1.1227242536293711,0.0
saved_incoming_pair,120,30,1.0e-12,0.00011353688491432558,1.0000000000043925,0.9970816011974298,1.0097510985304379,61,1.0127065802014528,0.0
saved_incoming_pair,120,30,1.0e-10,0.00011353688491432558,1.0000000000043925,0.9970816011974298,1.0097510985304379,61,1.0127065802014528,0.0
saved_incoming_pair,120,30,1.0e-8,0.00011353688491432558,1.0000000000043925,0.9970816011974298,1.0097510985304379,61,1.0127065802014528,0.0
saved_incoming_pair,120,40,1.0e-12,5.615474891626956e-6,1.0000000000043925,0.9997743678360868,1.001432919141648,41,1.001658925612537,0.0
saved_incoming_pair,120,40,1.0e-10,5.615474891626956e-6,1.0000000000043925,0.9997743678360868,1.001432919141648,41,1.001658925612537,0.0
saved_incoming_pair,120,40,1.0e-8,5.615474891626956e-6,1.0000000000043925,0.9997743678360868,1.001432919141648,41,1.001658925612537,0.0
saved_incoming_pair,120,50,1.0e-12,2.863665150137214e-7,1.0000000000043925,0.9999833543305705,1.000271397225141,21,1.000288047689317,0.0
saved_incoming_pair,120,50,1.0e-10,2.863665150137214e-7,1.0000000000043925,0.9999833543305705,1.000271397225141,21,1.000288047689317,0.0
saved_incoming_pair,120,50,1.0e-8,2.863665150137214e-7,1.0000000000043925,0.9999833543305705,1.000271397225141,21,1.000288047689317,0.0
saved_incoming_pair,145,20,1.0e-12,0.002425499668831443,1.0000000000000702,0.9756894591381092,1.0954302298362868,106,1.122724263931223,0.0
saved_incoming_pair,145,20,1.0e-10,0.002425499668831443,1.0000000000000702,0.9756894591381092,1.0954302298362868,106,1.122724263931223,0.0
saved_incoming_pair,145,20,1.0e-8,0.002425499668831443,1.0000000000000702,0.9756894591381092,1.0954302298362868,106,1.122724263931223,0.0
saved_incoming_pair,145,30,1.0e-12,0.00011353687744797964,1.0000000000000702,0.9970815225841383,1.0097510318093383,86,1.0127065931302832,0.0
saved_incoming_pair,145,30,1.0e-10,0.00011353687744797964,1.0000000000000702,0.9970815225841383,1.0097510318093383,86,1.0127065931302832,0.0
saved_incoming_pair,145,30,1.0e-8,0.00011353687744797964,1.0000000000000702,0.9970815225841383,1.0097510318093383,86,1.0127065931302832,0.0
saved_incoming_pair,145,40,1.0e-12,5.615503174195761e-6,1.0000000000000702,0.9997741007431128,1.0014326920606593,66,1.0016589660767505,0.0
saved_incoming_pair,145,40,1.0e-10,5.615503174195761e-6,1.0000000000000702,0.9997741007431128,1.0014326920606593,66,1.0016589660767505,0.0
