time,left_bond,middle_bond,right_bond,mean_y,triple,connected_triple,vacuum_triple
75,89,161,216,0.001559392880088585,9.803797290666558e-7,6.6402445454764565e-9,-6.676088589190395e-17
75,89,163,216,0.0015903388471736949,9.916459151570314e-7,6.138036304032891e-9,-6.675148518235339e-17
75,89,165,216,0.0016271843309283451,1.0282433107975981e-6,9.004137777014146e-9,-6.673843877260218e-17
75,89,167,216,0.0017079129955814881,1.0814424335505706e-6,1.3024128031433379e-8,-6.672064963314367e-17
75,89,169,216,0.0016920493960391892,1.0567379391291673e-6,1.3387451705773747e-8,-6.669672578440284e-17
75,89,171,216,0.001742003660912276,1.0781563639105347e-6,3.9477733125196355e-9,-6.666496799186858e-17
75,89,173,216,0.0017560841552495187,1.0843007558570674e-6,7.93832104094298e-9,-6.662340796220883e-17
75,89,175,216,0.0018200826962685762,1.0991752392648205e-6,-1.7835550371359213e-9,-6.656994887435941e-17
75,89,177,216,0.001951488082155599,1.1345334180547876e-6,-3.5036055936700396e-9,-6.650269851803527e-17
75,89,179,216,0.002070765929237986,1.2221448968468885e-6,-4.451554921984288e-9,-6.642064790540309e-17
75,89,181,216,0.002140500741199069,1.2526223588075615e-6,-6.060844619201923e-10,-6.632494804759529e-17
75,89,183,216,0.002282123517998229,1.3031607729069754e-6,9.54511242127081e-9,-6.622119600117477e-17
75,89,185,216,0.0025371024727762477,1.3408193912177382e-6,7.607189717598128e-9,-6.612338465902552e-17
75,89,187,216,0.002865456033283022,1.3957306611327925e-6,3.5420027379238277e-9,-6.60605288541897e-17
75,89,189,216,0.0033404511928680544,1.4650377637730538e-6,-1.094463108602126e-9,-6.608746315739107e-17
75,89,191,216,0.00397352155082969,1.5080222273034846e-6,-1.1546795352532825e-8,-6.630182180738481e-17
75,89,193,216,0.004793803677119507,1.5621833480667477e-6,-4.6212619157260785e-8,-6.686929893145812e-17
75,89,195,216,0.006055764653603914,1.8581006884056002e-6,-7.354136623219686e-8,-6.805730274008418e-17
80,80,100,225,0.005781956999637904,1.4068062997091814e-6,-1.224180647793298e-7,-4.874186574887095e-18
80,80,102,225,0.004556772129060784,1.340556438954587e-6,-6.714121485331069e-8,-4.758904067276814e-18
80,80,104,225,0.00364595055199478,1.2661658263768134e-6,-2.407862567670921e-8,-4.700144051693157e-18
80,80,106,225,0.0031996953443379408,1.4552741410976593e-6,7.588335009736087e-9,-4.674609606569138e-18
80,80,108,225,0.0027071403602413687,1.324182746969503e-6,1.1856062049855417e-8,-4.667352337464892e-18
80,80,110,225,0.002350876779163547,1.2711762141073884e-6,1.6563871056000628e-8,-4.669370244569205e-18
80,80,112,225,0.0021849391185626934,1.2436735185524568e-6,4.86055052416727e-9,-4.67547370011652e-18
80,80,114,225,0.0020694291592964257,1.1827443373369587e-6,6.103012617707832e-9,-4.682819942835401e-18
80,80,116,225,0.0018737921724914168,1.078279760008449e-6,7.481006496571644e-10,-4.68998978928862e-18
80,80,118,225,0.0018683311562145166,1.1016997253237512e-6,1.4138160902706665e-9,-4.696322218769242e-18
80,80,120,225,0.0017360773288835943,1.0162818312569787e-6,5.050281491771787e-9,-4.70161625223774e-18
